source,source_type,target_maithili,target_script,notes
उसके,candidate,,Devanagari,auto_from_transcript freq=1
आएगा,candidate,,Devanagari,auto_from_transcript freq=1
तब,candidate,,Devanagari,auto_from_transcript freq=1
नेड़े,candidate,,Devanagari,auto_from_transcript freq=1
प्रक्रियाजे,candidate,,Devanagari,auto_from_transcript freq=1
सहातर,candidate,,Devanagari,auto_from_transcript freq=1
कहें,candidate,,Devanagari,auto_from_transcript freq=1
बैल,candidate,,Devanagari,auto_from_transcript freq=1
कनेक्टेड,candidate,,Devanagari,auto_from_transcript freq=1
सरकान,candidate,,Devanagari,auto_from_transcript freq=1
अफसरों,candidate,,Devanagari,auto_from_transcript freq=1
प्रते,candidate,,Devanagari,auto_from_transcript freq=1
इर्शा,candidate,,Devanagari,auto_from_transcript freq=1
ओगी।,candidate,,Devanagari,auto_from_transcript freq=1
तकलीब,candidate,,Devanagari,auto_from_transcript freq=1
हुगी,candidate,,Devanagari,auto_from_transcript freq=1
औड़,candidate,,Devanagari,auto_from_transcript freq=1
channel,candidate,,Devanagari,auto_from_transcript freq=1
लाई,candidate,,Devanagari,auto_from_transcript freq=1
हुए,candidate,,Devanagari,auto_from_transcript freq=1
आकर,candidate,,Devanagari,auto_from_transcript freq=1
ब्रीप,candidate,,Devanagari,auto_from_transcript freq=1
होते,candidate,,Devanagari,auto_from_transcript freq=1
डेविल,candidate,,Devanagari,auto_from_transcript freq=1
एरगोर्केट,candidate,,Devanagari,auto_from_transcript freq=1
बंद,candidate,,Devanagari,auto_from_transcript freq=1
उल्टे,candidate,,Devanagari,auto_from_transcript freq=1
पूछता,candidate,,Devanagari,auto_from_transcript freq=1
हूं,candidate,,Devanagari,auto_from_transcript freq=1
बारी,candidate,,Devanagari,auto_from_transcript freq=1
किसे,candidate,,Devanagari,auto_from_transcript freq=1
एलेक,candidate,,Devanagari,auto_from_transcript freq=1
प्रकरते,candidate,,Devanagari,auto_from_transcript freq=1
मन्थन,candidate,,Devanagari,auto_from_transcript freq=1
करना,candidate,,Devanagari,auto_from_transcript freq=1
पड़ता,candidate,,Devanagari,auto_from_transcript freq=1
अमृत,candidate,,Devanagari,auto_from_transcript freq=1
निकले,candidate,,Devanagari,auto_from_transcript freq=1
इस,candidate,,Devanagari,auto_from_transcript freq=1
कहा,candidate,,Devanagari,auto_from_transcript freq=1
कोशिश,candidate,,Devanagari,auto_from_transcript freq=1
हैती,candidate,,Devanagari,auto_from_transcript freq=1
निर्णाई,candidate,,Devanagari,auto_from_transcript freq=1
लेता,candidate,,Devanagari,auto_from_transcript freq=1
लगता,candidate,,Devanagari,auto_from_transcript freq=1
जाता,candidate,,Devanagari,auto_from_transcript freq=1
सहमना,candidate,,Devanagari,auto_from_transcript freq=1
विचारों,candidate,,Devanagari,auto_from_transcript freq=1
शेर,candidate,,Devanagari,auto_from_transcript freq=1
हलके,candidate,,Devanagari,auto_from_transcript freq=1
रियक्शन,candidate,,Devanagari,auto_from_transcript freq=1
देखता,candidate,,Devanagari,auto_from_transcript freq=1
होगा,candidate,,Devanagari,auto_from_transcript freq=1
conviction,candidate,,Devanagari,auto_from_transcript freq=1
बन,candidate,,Devanagari,auto_from_transcript freq=1
जाए,candidate,,Devanagari,auto_from_transcript freq=1
doesn,candidate,,Devanagari,auto_from_transcript freq=1
take,candidate,,Devanagari,auto_from_transcript freq=1
much,candidate,,Devanagari,auto_from_transcript freq=1
speed,candidate,,Devanagari,auto_from_transcript freq=1
कैसे,candidate,,Devanagari,auto_from_transcript freq=1
लिये,candidate,,Devanagari,auto_from_transcript freq=1
अब,candidate,,Devanagari,auto_from_transcript freq=1
nobel,candidate,,Devanagari,auto_from_transcript freq=1
prize,candidate,,Devanagari,auto_from_transcript freq=1
विनर,candidate,,Devanagari,auto_from_transcript freq=1
मिलते,candidate,,Devanagari,auto_from_transcript freq=1
भागबाद,candidate,,Devanagari,auto_from_transcript freq=1
उदान,candidate,,Devanagari,auto_from_transcript freq=1
देते,candidate,,Devanagari,auto_from_transcript freq=1
कल,candidate,,Devanagari,auto_from_transcript freq=1
पार्टिया,candidate,,Devanagari,auto_from_transcript freq=1
प्रिशर,candidate,,Devanagari,auto_from_transcript freq=1
करती,candidate,,Devanagari,auto_from_transcript freq=1
इतना,candidate,,Devanagari,auto_from_transcript freq=1
पैसा,candidate,,Devanagari,auto_from_transcript freq=1
दे,candidate,,Devanagari,auto_from_transcript freq=1
अपनी,candidate,,Devanagari,auto_from_transcript freq=1
परिस्थिति,candidate,,Devanagari,auto_from_transcript freq=1
अनुसार,candidate,,Devanagari,auto_from_transcript freq=1
निलने,candidate,,Devanagari,auto_from_transcript freq=1
समाजिक,candidate,,Devanagari,auto_from_transcript freq=1
तनाव,candidate,,Devanagari,auto_from_transcript freq=1
पैदा,candidate,,Devanagari,auto_from_transcript freq=1
होने,candidate,,Devanagari,auto_from_transcript freq=1
दूँगा।,candidate,,Devanagari,auto_from_transcript freq=1
ऐसे,candidate,,Devanagari,auto_from_transcript freq=1
मन,candidate,,Devanagari,auto_from_transcript freq=1
भावकताए,candidate,,Devanagari,auto_from_transcript freq=1
हुये,candidate,,Devanagari,auto_from_transcript freq=1
डाउन,candidate,,Devanagari,auto_from_transcript freq=1
पड़ी,candidate,,Devanagari,auto_from_transcript freq=1
इकणां,candidate,,Devanagari,auto_from_transcript freq=1
पूरी,candidate,,Devanagari,auto_from_transcript freq=1
तरह,candidate,,Devanagari,auto_from_transcript freq=1
दुनिया,candidate,,Devanagari,auto_from_transcript freq=1
बैट,candidate,,Devanagari,auto_from_transcript freq=1
चुकी,candidate,,Devanagari,auto_from_transcript freq=1
ठी,candidate,,Devanagari,auto_from_transcript freq=1
heard,candidate,,Devanagari,auto_from_transcript freq=1
opinions,candidate,,Devanagari,auto_from_transcript freq=1
experts,candidate,,Devanagari,auto_from_transcript freq=1
tried,candidate,,Devanagari,auto_from_transcript freq=1
understand,candidate,,Devanagari,auto_from_transcript freq=1
oppose,candidate,,Devanagari,auto_from_transcript freq=1
combined,candidate,,Devanagari,auto_from_transcript freq=1
country,candidate,,Devanagari,auto_from_transcript freq=1
situation,candidate,,Devanagari,auto_from_transcript freq=1
own,candidate,,Devanagari,auto_from_transcript freq=1
experience,candidate,,Devanagari,auto_from_transcript freq=1
mixed,candidate,,Devanagari,auto_from_transcript freq=1
developed,candidate,,Devanagari,auto_from_transcript freq=1
things,candidate,,Devanagari,auto_from_transcript freq=1
system,candidate,,Devanagari,auto_from_transcript freq=1
because,candidate,,Devanagari,auto_from_transcript freq=1
inflation,candidate,,Devanagari,auto_from_transcript freq=1
world,candidate,,Devanagari,auto_from_transcript freq=1
immediately,candidate,,Devanagari,auto_from_transcript freq=1
after,candidate,,Devanagari,auto_from_transcript freq=1
covid,candidate,,Devanagari,auto_from_transcript freq=1
तेज,candidate,,Devanagari,auto_from_transcript freq=1
गती,candidate,,Devanagari,auto_from_transcript freq=1
प्रगधी,candidate,,Devanagari,auto_from_transcript freq=1
वाला,candidate,,Devanagari,auto_from_transcript freq=1
उसका,candidate,,Devanagari,auto_from_transcript freq=1
मूल,candidate,,Devanagari,auto_from_transcript freq=1
कारण,candidate,,Devanagari,auto_from_transcript freq=1
vishwan miriam,candidate,,Devanagari,auto_from_transcript freq=1
miriam मेरी,candidate,,Devanagari,auto_from_transcript freq=1
मेरी आँख,candidate,,Devanagari,auto_from_transcript freq=1
आँख सामने,candidate,,Devanagari,auto_from_transcript freq=1
सामने जो,candidate,,Devanagari,auto_from_transcript freq=1
जो चीज़े,candidate,,Devanagari,auto_from_transcript freq=1
चीज़े वो,candidate,,Devanagari,auto_from_transcript freq=1
वो ही,candidate,,Devanagari,auto_from_transcript freq=1
ही मुझे,candidate,,Devanagari,auto_from_transcript freq=1
मुझे मोटिवेट,candidate,,Devanagari,auto_from_transcript freq=1
मोटिवेट करते,candidate,,Devanagari,auto_from_transcript freq=1
करते रहती,candidate,,Devanagari,auto_from_transcript freq=1
रहती दूसरा,candidate,,Devanagari,auto_from_transcript freq=1
दूसरा जो,candidate,,Devanagari,auto_from_transcript freq=1
जो जिम्मेबारी,candidate,,Devanagari,auto_from_transcript freq=1
जिम्मेबारी देशवास्वे,candidate,,Devanagari,auto_from_transcript freq=1
देशवास्वे ने,candidate,,Devanagari,auto_from_transcript freq=1
ने मुझे,candidate,,Devanagari,auto_from_transcript freq=1
मुझे दी,candidate,,Devanagari,auto_from_transcript freq=1
दी है।,candidate,,Devanagari,auto_from_transcript freq=1
है। कि,candidate,,Devanagari,auto_from_transcript freq=1
कि पद,candidate,,Devanagari,auto_from_transcript freq=1
पद मौज,candidate,,Devanagari,auto_from_transcript freq=1
मौज मस्ती,candidate,,Devanagari,auto_from_transcript freq=1
मस्ती करने,candidate,,Devanagari,auto_from_transcript freq=1
करने लिए,candidate,,Devanagari,auto_from_transcript freq=1
लिए आया।,candidate,,Devanagari,auto_from_transcript freq=1
आया। मेरी,candidate,,Devanagari,auto_from_transcript freq=1
मेरी जरब,candidate,,Devanagari,auto_from_transcript freq=1
जरब पुरा,candidate,,Devanagari,auto_from_transcript freq=1
पुरा प्रहास,candidate,,Devanagari,auto_from_transcript freq=1
प्रहास करूँगा,candidate,,Devanagari,auto_from_transcript freq=1
करूँगा हो,candidate,,Devanagari,auto_from_transcript freq=1
हो सकता,candidate,,Devanagari,auto_from_transcript freq=1
सकता दो,candidate,,Devanagari,auto_from_transcript freq=1
दो काम,candidate,,Devanagari,auto_from_transcript freq=1
काम बग,candidate,,Devanagari,auto_from_transcript freq=1
बग कर,candidate,,Devanagari,auto_from_transcript freq=1
कर पाऊं,candidate,,Devanagari,auto_from_transcript freq=1
पाऊं लेकिन,candidate,,Devanagari,auto_from_transcript freq=1
लेकिन मेरे,candidate,,Devanagari,auto_from_transcript freq=1
मेरे प्रयास,candidate,,Devanagari,auto_from_transcript freq=1
प्रयास कमी,candidate,,Devanagari,auto_from_transcript freq=1
कमी रहेगी,candidate,,Devanagari,auto_from_transcript freq=1
रहेगी मैंने,candidate,,Devanagari,auto_from_transcript freq=1
मैंने कह,candidate,,Devanagari,auto_from_transcript freq=1
कह देशवासियों,candidate,,Devanagari,auto_from_transcript freq=1
देशवासियों वादा,candidate,,Devanagari,auto_from_transcript freq=1
वादा करता,candidate,,Devanagari,auto_from_transcript freq=1
करता हूँ,candidate,,Devanagari,auto_from_transcript freq=1
हूँ कि,candidate,,Devanagari,auto_from_transcript freq=1
कि मै,candidate,,Devanagari,auto_from_transcript freq=1
मै कभी,candidate,,Devanagari,auto_from_transcript freq=1
कभी बी,candidate,,Devanagari,auto_from_transcript freq=1
बी परिश्रम,candidate,,Devanagari,auto_from_transcript freq=1
परिश्रम करने,candidate,,Devanagari,auto_from_transcript freq=1
करने पीछे,candidate,,Devanagari,auto_from_transcript freq=1
पीछे रहूंगा।,candidate,,Devanagari,auto_from_transcript freq=1
रहूंगा। दूसरा,candidate,,Devanagari,auto_from_transcript freq=1
दूसरा कहता,candidate,,Devanagari,auto_from_transcript freq=1
कहता कि,candidate,,Devanagari,auto_from_transcript freq=1
कि बद,candidate,,Devanagari,auto_from_transcript freq=1
बद इरादे,candidate,,Devanagari,auto_from_transcript freq=1
इरादे कोई,candidate,,Devanagari,auto_from_transcript freq=1
कोई काम,candidate,,Devanagari,auto_from_transcript freq=1
काम करूँगा,candidate,,Devanagari,auto_from_transcript freq=1
करूँगा तीसरा,candidate,,Devanagari,auto_from_transcript freq=1
तीसरा कहता,candidate,,Devanagari,auto_from_transcript freq=1
कहता मेरे,candidate,,Devanagari,auto_from_transcript freq=1
मेरे लिए,candidate,,Devanagari,auto_from_transcript freq=1
लिए कुछ,candidate,,Devanagari,auto_from_transcript freq=1
कुछ करूँगा,candidate,,Devanagari,auto_from_transcript freq=1
करूँगा आज,candidate,,Devanagari,auto_from_transcript freq=1
आज मुझे,candidate,,Devanagari,auto_from_transcript freq=1
मुझे साल,candidate,,Devanagari,auto_from_transcript freq=1
साल हो,candidate,,Devanagari,auto_from_transcript freq=1
हो गए,candidate,,Devanagari,auto_from_transcript freq=1
गए इतने,candidate,,Devanagari,auto_from_transcript freq=1
इतने लंबे,candidate,,Devanagari,auto_from_transcript freq=1
लंबे कालखन,candidate,,Devanagari,auto_from_transcript freq=1
कालखन head,candidate,,Devanagari,auto_from_transcript freq=1
head government,candidate,,Devanagari,auto_from_transcript freq=1
government given,candidate,,Devanagari,auto_from_transcript freq=1
given work,candidate,,Devanagari,auto_from_transcript freq=1
work weighed,candidate,,Devanagari,auto_from_transcript freq=1
weighed myself,candidate,,Devanagari,auto_from_transcript freq=1
myself three,candidate,,Devanagari,auto_from_transcript freq=1
three pillars,candidate,,Devanagari,auto_from_transcript freq=1
pillars inspiration,candidate,,Devanagari,auto_from_transcript freq=1
inspiration billion,candidate,,Devanagari,auto_from_transcript freq=1
billion people,candidate,,Devanagari,auto_from_transcript freq=1
people लोगों,candidate,,Devanagari,auto_from_transcript freq=1
लोगों सेवा,candidate,,Devanagari,auto_from_transcript freq=1
सेवा उनके,candidate,,Devanagari,auto_from_transcript freq=1
उनके एस्पिरेशन,candidate,,Devanagari,auto_from_transcript freq=1
एस्पिरेशन उंकी,candidate,,Devanagari,auto_from_transcript freq=1
उंकी आवशक्ता,candidate,,Devanagari,auto_from_transcript freq=1
आवशक्ता है।,candidate,,Devanagari,auto_from_transcript freq=1
है। जितनी,candidate,,Devanagari,auto_from_transcript freq=1
जितनी मेहनत,candidate,,Devanagari,auto_from_transcript freq=1
मेहनत कर,candidate,,Devanagari,auto_from_transcript freq=1
कर सकूँ,candidate,,Devanagari,auto_from_transcript freq=1
सकूँ जीतना,candidate,,Devanagari,auto_from_transcript freq=1
जीतना करसको,candidate,,Devanagari,auto_from_transcript freq=1
करसको करने,candidate,,Devanagari,auto_from_transcript freq=1
करने मुड़,candidate,,Devanagari,auto_from_transcript freq=1
मुड़ आज,candidate,,Devanagari,auto_from_transcript freq=1
आज मैरी,candidate,,Devanagari,auto_from_transcript freq=1
मैरी उर्जा,candidate,,Devanagari,auto_from_transcript freq=1
उर्जा वो,candidate,,Devanagari,auto_from_transcript freq=1
ही engineer,candidate,,Devanagari,auto_from_transcript freq=1
engineer person,candidate,,Devanagari,auto_from_transcript freq=1
person loves,candidate,,Devanagari,auto_from_transcript freq=1
loves mathematics,candidate,,Devanagari,auto_from_transcript freq=1
mathematics ask,candidate,,Devanagari,auto_from_transcript freq=1
ask srinivasa,candidate,,Devanagari,auto_from_transcript freq=1
srinivasa ramanujan,candidate,,Devanagari,auto_from_transcript freq=1
ramanujan indian,candidate,,Devanagari,auto_from_transcript freq=1
indian mathematician,candidate,,Devanagari,auto_from_transcript freq=1
