utterance_id,audio_path,source,split,chunk_start_sec,chunk_end_sec,chunk_duration_sec,source_text,target_maithili,dictionary_coverage,target_maithili_fluent,tts_text_maithili,tts_word_budget
lexmodi_original_2h20m_10m__chunk_0000,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0000.wav,lexmodi_original_2h20m_10m,test,0.000,15.000,15.000,motivation मेरी आंख के सामने जो चीजें हैं वही मुझे मोटिवेट करती रहती है दूसरा मेरी जिम्मेवारी मुझे दौड़ाती है जो जिम्मेवारी देशवासियों ने मुझे दी है मुझे हमेशा लगता है,motivation हमर आंख के सोझाँ जे चीजें हैं वही हमरा मोटिवेट करैत रहैत है दोसर हमर जिम्मेवारी हमरा दौड़ाती है जे जिम्मेवारी देशवासीसभ N/A हमरा देलक है हमरा हमेशा लगैत है,0.5161,"जे चीज हमर आँखि सोझा अछि, ओही हमरा प्रेरित करैत रहैत अछि। दोसर, हमर जिम्मेवारी हमरा दौड़बैत अछि, जे जिम्मेवारी देशवासी लोकनि हमरा देने छथि। हमरा हमेशा लगैत अछि।","जे चीज हमर आँखि सोझा अछि, ओही हमरा प्रेरित करैत रहैत अछि। दोसर, हमर जिम्मेवारी हमरा दौड़बैत अछि, जे जिम्मेवारी देशवासी लोकनि हमरा देने छथि।",28
lexmodi_original_2h20m_10m__chunk_0001,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0001.wav,lexmodi_original_2h20m_10m,test,14.000,29.000,15.000,अच्छा लगता है कि मैं पद पर मौज मस्ती करने के लिए नहीं आया मेरी तरफ से मैं पूरा प्रयास करूंगा हो सकता है मैं दो काम ना कर पाऊं लेकिन मेरे प्रयास में कमी नहीं रहेगी,अच्छा लगैत है जे मैं पद पर मौज मस्ती करबाक के लेल नहीं आया हमर तरफ से मैं पूरा प्रयास करूंगा होइ सकैत है मैं दू काज ना करि सकब मुदा हमर प्रयास में कमी नहीं रहत,0.4054,"हमरा नीक लगैत अछि जे हम पद पर मौज-मस्ती करबाक लेल नहिं आयल छी। हमर दिस सं हम पूरा प्रयास करब। भऽ सकैत अछि जे हम दू काज नहिं कऽ पाबी, मुदा हमर प्रयास मे कोनो कसर नहिं रहत।",हमरा नीक लगैत अछि जे हम पद पर मौज-मस्ती करबाक लेल नहिं आयल छी। हमर दिस सं हम पूरा प्रयास करब।,28
lexmodi_original_2h20m_10m__chunk_0003,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0003.wav,lexmodi_original_2h20m_10m,test,42.000,57.000,15.000,मैंने कहा मैं देशवासियों को वादा करता हूं कि मैं कभी भी परिश्रम करने में पीछे नहीं रहूंगा। दूसरा मैं कहता था कि मैं बद्ध इरादे से,हम कहलिऐा मैं देशवासीसभ को वादा करैत छी जे मैं कहियो भी परिश्रम करबाक में पाछू नहीं रहब दोसर मैं कहैत था जे मैं बद्ध इरादासभ से,0.5185,हम कहलियनि जे हम देशवासी सबहक सँ प्रतिज्ञा करैत छियनि जे हम कहियो परिश्रम करब मे पाछू नहि हटब। दोसर हम ई कहैत रही जे हम दृढ़ संकल्प सँ...,हम कहलियनि जे हम देशवासी सबहक सँ प्रतिज्ञा करैत छियनि जे हम कहियो परिश्रम करब मे पाछू नहि हटब।,27
lexmodi_original_2h20m_10m__chunk_0004,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0004.wav,lexmodi_original_2h20m_10m,test,56.000,71.000,15.000,बद इरादे से कोई काम नहीं करूंगा। और तीसरा मैं कहता था मेरे लिए मैं कुछ नहीं करूंगा। आज मुझे 24 साल हो गए इतने लंबे कालखंड से मैं,खराब इरादासभ से कोनो काज नहीं करूंगा। और तेसर मैं कहैत था हमरा लेल मैं किछु नहीं करूंगा। आइ हमरा 24 वर्ष भऽ गेल एतेक लाम्बा कालखंड से मैं,0.3571,खराब नियत सँ कोनो काज नहि करब। आ तेसर हम कहैत छलहुँ जे अपन लेल हम किछ नहि करब। आइ हमरा चौबीस साल भऽ गेल एतेक लम्बा समय सँ हम,खराब नियत सँ कोनो काज नहि करब। आ तेसर हम कहैत छलहुँ जे अपन लेल हम किछ नहि करब।,28
lexmodi_original_2h20m_10m__chunk_0005,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0005.wav,lexmodi_original_2h20m_10m,test,70.000,85.000,15.000,head of the government inspiration,प्रमुख of the सरकार प्रेरणा,0.6000,सरकारक प्रमुख प्रेरणास्रोत,सरकारक प्रमुख प्रेरणास्रोत,6
lexmodi_original_2h20m_10m__chunk_0006,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0006.wav,lexmodi_original_2h20m_10m,test,84.000,99.000,15.000,one 1.4 billion लोगों की सेवा उनके aspiration उनकी आवश्यकता जितनी मेहनत कर सकूं जितना कर सकूं मैं करने के mood,एक 1. 4 अरब लोक की सेवा हुनक aspiration उनकी आवश्यकता जतेक परिश्रम करू सकूं जितना करि सकूं मैं करबाक के mood,0.4000,"एक अरब चालीस करोड़ लोकक सेवा, हुनकर आकांक्षा, हुनकर आवश्यकता - जेतेक मेहनत कऽ सकू, जेतेक कऽ सकू, हम ओहिना करबाक मन में छी।","एक अरब चालीस करोड़ लोकक सेवा, हुनकर आकांक्षा, हुनकर आवश्यकता - जेतेक मेहनत कऽ सकू, जेतेक कऽ सकू, हम ओहिना करबाक मन में",22
lexmodi_original_2h20m_10m__chunk_0007,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0007.wav,lexmodi_original_2h20m_10m,test,98.000,113.000,15.000,"मैं करने के mood में हूं आज भी मेरी ऊर्जा वही है जी Me as an engineer, as a person who loves mathematics, I have to ask. Srinivasa Ramanujan is an Indian mathematician from a century ago. He is widely considered to be uh one of the","मैं करबाक के mood में छी आइ भी हमर ऊर्जा वही है जी Me as an अभियंता, as a व्यक्ति who गणित सँ प्रेम करैत अछि, I have to पूछब. श्रीनिवास रामानुजन is an भारतीय गणितज्ञ from a शताब्दी पहिने. He is व्यापक रूप सँ मानल जाइत छथि to be uh एक of the",0.2400,"हम करबाक मूड में छी, आइयो हमर ऊर्जा ओही अछि जी। हम एकटा इंजीनियरक रूप में, गणितक प्रेमीक रूप में, हमरा ई पूछबे परत। श्रीनिवास रामानुजन एकटा भारतीय गणितज्ञ छथि जे एक शताब्दी पहिनेक छलाह। हुनका व्यापक रूप सँ मानल जाइत छनि जे अह... ओ एकटा छथि...","हम करबाक मूड में छी, आइयो हमर ऊर्जा ओही अछि जी। हम एकटा इंजीनियरक रूप में, गणितक प्रेमीक रूप में, हमरा ई पूछबे परत।",28
lexmodi_original_2h20m_10m__chunk_0008,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0008.wav,lexmodi_original_2h20m_10m,test,112.000,127.000,15.000,"uh one of the greatest mathematicians of all time, self-taught, grew up in poverty. You have often spoken about him. Uh what do you find inspiring about him?","uh एक of the महानतम गणितज्ञ लोकनि of सब समय, स्वयं-शिक्षित, बढ़लाह up in गरीबी. You have प्रायः कहल जाइत अछि बारेमे him. Uh what do you पाबैत छथि प्रेरणादायक बारेमे him?",0.5000,"उम्म्म, सब समयक महानतम गणितज्ञसभ मे सँ एकटा, जे अपने सँ सीखल छलाह आ गरीबी मे पला-बढ़लाह। अहाँ हुनका विषय मे प्रायः बजैत रहल छी। उम्म्म, हुनका बारे मे अहाँकेँ कोन बात प्रेरणादायक लागैत अछि?","उम्म्म, सब समयक महानतम गणितज्ञसभ मे सँ एकटा, जे अपने सँ सीखल छलाह आ गरीबी मे पला-बढ़लाह। अहाँ हुनका विषय मे प्रायः बजैत रहल छी।",28
lexmodi_original_2h20m_10m__chunk_0009,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0009.wav,lexmodi_original_2h20m_10m,test,126.000,141.000,15.000,देखिए मैं देख रहा हूं मैं बहुत आदर करता हूं और मेरे देश के हर कोई उनको आदर करते हैं क्योंकि science और spirituality के बीच,देखिए मैं देख रहल छी मैं बहुत आदर करैत छी और हमर देश के हर कोनो ओनका आदर करैत हैं क्योंकि विज्ञान और आध्यात्मिकता के बीच,0.5385,"देखू, हम तँ हुनकर बहुत आदर करैत छियनि, आ हमर देशक सब गोटे हुनका आदर करैत छथि। किएक तँ विज्ञान आ अध्यात्मक बीच...","देखू, हम तँ हुनकर बहुत आदर करैत छियनि, आ हमर देशक सब गोटे हुनका आदर करैत छथि। किएक तँ विज्ञान आ अध्यात्मक बीच...",26
lexmodi_original_2h20m_10m__chunk_0010,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0010.wav,lexmodi_original_2h20m_10m,test,140.000,155.000,15.000,spirituality connect scientific advance minds spiritually advance,आध्यात्मिकता connect वैज्ञानिक advance मन आध्यात्मिक रूप सँ advance,0.5714,आध्यात्मिकता वैज्ञानिक प्रगति केँ आध्यात्मिक रूप सँ उन्नत मनसभ सँ जोड़ैत अछि।,आध्यात्मिकता वैज्ञानिक प्रगति केँ आध्यात्मिक रूप सँ,7
lexmodi_original_2h20m_10m__chunk_0011,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0011.wav,lexmodi_original_2h20m_10m,test,154.000,169.000,15.000,So cut off नहीं होता है। श्रीनिवास रामानुजम कहते थे कि उन्हें उस देवी से आते हैं जिसकी वो पूजा करते हैं।,So cut off नहीं होता अछि श्रीनिवास रामानुजम कहैत थे जे हुनका उस देवी से अबैत हैं जेकर ओ पूजा करैत हैं।,0.4091,तेँ संबंध नहि टूटैत छै। श्रीनिवास रामानुजन कहने छलाह जे हुनका ओहि देवीसँ आबय छनि जेकरि ओ पूजा करैत छथि।,तेँ संबंध नहि टूटैत छै। श्रीनिवास रामानुजन कहने छलाह जे हुनका ओहि देवीसँ आबय छनि जेकरि ओ पूजा करैत छथि।,22
lexmodi_original_2h20m_10m__chunk_0012,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0012.wav,lexmodi_original_2h20m_10m,test,168.000,183.000,15.000,any idea hard work devote,कोनो idea hard काज समर्पित करब,0.6000,कठिन परिश्रम समर्पित करबाक संबंधमे कोनो विचार?,कठिन परिश्रम समर्पित करबाक संबंधमे कोनो,6
lexmodi_original_2h20m_10m__chunk_0013,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0013.wav,lexmodi_original_2h20m_10m,test,182.000,197.000,15.000,knowledge sources open,ज्ञान sources open,0.3333,ज्ञानक स्रोत सब खुलल अछि।,ज्ञानक स्रोत सब खुलल अछि।,6
lexmodi_original_2h20m_10m__chunk_0014,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0014.wav,lexmodi_original_2h20m_10m,test,196.000,211.000,15.000,हमारे पास उतने ही ज्यादा आएंगे। हमें और के बीच में फर्क करना भी समझना चाहिए। कुछ लोग को मानते हैं और का बहुत बड़ा पुंज लेकर के घूमते,हमारे लग उतने एहो ज्यादा आएंगे। हमें और के बीच में फरक करब भी बुझब चाहिए। किछु लोक को मानब हैं और का बहुत पैघ पुंज लेकर के घूमते,0.3793,हमरा सभक लग ओतबे बेसी आयत। हमरा सभकें आन-आन वस्तु/लोकनिक बीच फरक करब सेहो बुझबाक चाही। किछु लोक किछोकेँ मानैत छथि आ ओकरे बहुत पैघ पुंज ल' क' घूमैत छथि।,हमरा सभक लग ओतबे बेसी आयत। हमरा सभकें आन-आन वस्तु लोकनिक बीच फरक करब सेहो बुझबाक चाही।,28
lexmodi_original_2h20m_10m__chunk_0015,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0015.wav,lexmodi_original_2h20m_10m,test,210.000,225.000,15.000,पुंज लेकर के घूमते रहते हैं मैं नहीं मानता हूं कि information का मतलब knowledge करना Knowledge एक एक विधा है जो एक processing के बाद धीरे-धीरे-धीरे evolve होती है और उसको हमने उस,पुंज लेकर के घूमते रहते हैं मैं नहीं मानता छी जे जानकारी का मतलब ज्ञान करब ज्ञान एक एक विधा है जे एक processing के बाद धीरे - धीरे - धीरे evolve होइत है और ओकरा हम उस,0.4722,"पुञ्ज ल'क' फिरैत रहैत छथि। हम ई नहिं मानैत छी जे जानकारी केँ ज्ञान कहब सही अछि। ज्ञान एकटा विधा थिक, जे एकटा प्रोसेसिंग क' बाद धीरे-धीरे विकसित होइत अछि। आ ओकरा हमरा लोकनि ओहि...",पुञ्ज ल क फिरैत रहैत छथि। हम ई नहिं मानैत छी जे जानकारी केँ ज्ञान कहब सही अछि।,28
lexmodi_original_2h20m_10m__chunk_0016,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0016.wav,lexmodi_original_2h20m_10m,test,224.000,239.000,15.000,"handle You have a reputation for being a decisive leader. So, can you walk me through on this topic of ideas, how you make decisions, what's your process?","handle You have a प्रतिष्ठा for being a निर्णायक नेता. So, can you चलब me सँ होइत on this विषय of विचार, कोना you बनाबय निर्णयसभ, what ' s your प्रक्रिया?",0.3793,"अहाँक प्रसिद्धि एकटा निर्णायक नेताक रूपमे छैक। तँ, एहि विचारसभक विषय पर, अहाँ निर्णय कोना लैत छी आ अहाँक प्रक्रिया की छैक, से हमरा विस्तार सँ बता सकय छी की?",अहाँक प्रसिद्धि एकटा निर्णायक नेताक रूपमे छैक।,28
lexmodi_original_2h20m_10m__chunk_0017,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0017.wav,lexmodi_original_2h20m_10m,test,238.000,253.000,15.000,"process. So for instance when facing a high stakes choice, uh with no clear precedence, you know, a lot of uncertainty, having to balance inputs, how do you make decisions?","प्रक्रिया. So for उदाहरण when सामना करैत a ऊँच दाँव विकल्प, uh with no स्पष्ट प्राथमिकता, you जानब, a बहुत of अनिश्चितता, having to संतुलन inputs, कोना do you बनाबय निर्णयसभ?",0.5000,"प्रक्रिया। तँ मानू जेना, जखन अहाँ कोनो एहन महत्वपूर्ण निर्णय सँ सामना करैत छी, जतय बहुत किछु दाँव पर लागल हो, कोनो स्पष्ट पूर्व उदाहरण नहि हो, बहुतो अनिश्चितता हो, आ सभ जानकारी केँ संतुलित करबाक हो, तखन अहाँ फैसला केना करैत छी?",प्रक्रिया।,28
lexmodi_original_2h20m_10m__chunk_0018,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0018.wav,lexmodi_original_2h20m_10m,test,252.000,267.000,15.000,बहुत सी बातें हैं इसके पीछे एक शायद हिंदुस्तान में मैं एक ऐसा politician हूं जो मेरे देश के,बहुत सी बातें हैं इसके पाछू एक शायद भारत में मैं एक एहन politician छी जे हमर देश के,0.5789,एहि पाछू बहुत रास गप अछि। शायद हम हिंदुस्तान मे एकटा एहन नेता छी जे हमर देशक,एहि पाछू बहुत रास गप अछि। शायद हम हिंदुस्तान मे एकटा एहन नेता छी जे हमर देशक,19
lexmodi_original_2h20m_10m__chunk_0019,/home/vishal/assignment2-final/stage1_lid/audio/chunks/lexmodi_original_2h20m_10m__chunk_0019.wav,lexmodi_original_2h20m_10m,test,266.000,281.000,15.000,85 to 90% district,85 to 90 % district,0.0000,पचासी स नब्बे प्रतिशत जिला,पचासी स नब्बे प्रतिशत जिला,6
